record_id,nama_usaha,alamat,kecamatan
R014212,PT Maju Persada 433,JALAN SENTOSA NOMOR 59 RT 08 RW 10,Bogor Barat
R004937,TOKO Berkah Persada,JALAN MANGGA NOMOR 226 RT 05 RW 03,Bogor Utara
R002046,STUDIO Jaya Teknik,JALAN PUSPA NOMOR 9 RT 03 RW 11,Tanah Sareal
R007198,KEDAI Sukses Makmur,JALAN PURNAMA NOMOR 93 RT 03 RW 09,Bogor Utara
R010224,WARUNG Kencana Persada 188,JALAN ANGGREK NOMOR 20 RT 14 RW 12,Bogor Tengah
R006753,STUDIO Cahaya Makmur,"Jalan Puspa Nomor 236, RT 03 RW 04",Bogor Tengah
R006077,BENGKEL Harapan Busana,jl wijaya no 232 rt 1 rw 11,Bogor Selatan
R012019,STUDIO Prima Busana 662,JALAN KEMUNING NOMOR 32 RT 07 RW 05,Bogor Selatan
R003985,DEPOT Sukses Usaha,JALAN PURNAMA NOMOR 174 RT 13 RW 09,Bogor Barat
R004046,PT Sejahtera Sejahtera,JALAN PAJAJARAN NOMOR 197 RT 08 RW 11,Bogor Utara
R005282,DEPOT Kencana Abadi,JALAN ANGGREK NOMOR 167 RT 13 RW 07,Bogor Utara
R009252,BENGKEL Kencana Digital 431,JALAN ANGGREK NOMOR 150 RT 03 RW 12,Bogor Timur
R014795,TOKO Makmur Pangan 911,JALAN SUKAMAJU NOMOR 143 RT 01 RW 04,Bogor Utara
R001239,UD Mandiri Teknik,JALAN KENCANA NOMOR 212 RT 01 RW 01,Bogor Tengah
R010220,WARUNG Berkah Pangan 186,JALAN PUSPA NOMOR 200 RT 03 RW 02,Bogor Selatan
R010434,STUDIO Lestari Utama 361,JALAN MERDEKA NOMOR 247 RT 12 RW 11,Bogor Timur
R007495,KEDAI Sejahtera Niaga 028,JALAN KEMUNING NOMOR 166 RT 03 RW 07,Bogor Timur
R008860,STUDIO Abadi Niaga 119,  Jl.  Kemuning   No 233  RT 04 / RW 12 ,Bogor Barat
R007979,KEDAI Lestari Utama 397,JALAN RAMBUTAN NOMOR 77 RT 07 RW 10,Bogor Timur
R002326,PT Cahaya Rasa,JALAN SENTOSA NOMOR 83 RT 04 RW 06,Bogor Tengah
R000230,CV Kencana Mandiri,JALAN MAWAR NOMOR 240 RT 03 RW 07,Bogor Tengah
R013270,DEPOT Mitra Digital 680,JALAN KEMUNING NOMOR 127 RT 05 RW 03,Bogor Timur
R010218,WARUNG Prima Kreatif 184,JALAN PAJAJARAN NOMOR 9 RT 15 RW 09,Bogor Utara
R007655,KEDAI Jaya Digital 136,JALAN MENTARI NOMOR 31 RT 07 RW 08,Tanah Sareal
R002795,WARUNG Prima Sejahtera,JALAN DURIAN NOMOR 165 RT 15 RW 06,Bogor Tengah
R004343,TOKO Anugerah Mandiri,JALAN HARAPAN NOMOR 168 RT 12 RW 03,Bogor Barat
R008098,CV Sukses Busana 494,JALAN CENDANA NOMOR 161 RT 03 RW 11,Tanah Sareal
R009700,BENGKEL Gemilang Motor 783,JALAN PAJAJARAN NOMOR 202 RT 06 RW 02,Bogor Barat
R003438,TOKO Lestari Abadi,JALAN RAMBUTAN NOMOR 106 RT 14 RW 06,Bogor Tengah
R011512,BENGKEL Maju Busana 246,JALAN MENTARI NOMOR 7 RT 05 RW 01,Bogor Barat
R013342,KEDAI Cahaya Persada 728,JALAN ANGGREK NOMOR 77 RT 13 RW 03,Bogor Selatan
R001705,DEPOT Anugerah Bersama,JALAN ANGGREK NOMOR 175 RT 14 RW 10,Bogor Timur
R013513,DEPOT Nusantara Makmur 873,JALAN MENTARI NOMOR 13 RT 15 RW 01,Bogor Tengah
R010153,KEDAI Abadi Abadi 130,JALAN PINUS NOMOR 240 RT 15 RW 11,Bogor Utara
R012981,DEPOT Kencana Kreatif 451,JALAN KENCANA NOMOR 220 RT 02 RW 06,Tanah Sareal
R012294,CV Kencana Sejahtera 897,JALAN PAJAJARAN NOMOR 187 RT 02 RW 01,Bogor Selatan
R001038,TOKO Mandiri Bersama,JALAN KEBUN RAYA NOMOR 184 RT 05 RW 02,Tanah Sareal
R006300,PT Sejahtera Sejahtera,JALAN FLAMBOYAN NOMOR 51 RT 14 RW 04,Bogor Barat
R000868,UD Sejahtera Bersama,JALAN PURNAMA NOMOR 58 RT 13 RW 01,Bogor Selatan
R001185,WARUNG Cahaya Mandiri,JALAN MENTARI NOMOR 69 RT 10 RW 12,Bogor Timur
R004144,STUDIO Makmur Persada,JALAN SUKAMAJU NOMOR 60 RT 15 RW 11,Bogor Timur
R001088,WARUNG Abadi Mandiri,JALAN KEMUNING NOMOR 1 RT 02 RW 09,Bogor Barat
R003621,CV Makmur Abadi,JALAN SENTOSA NOMOR 106 RT 15 RW 05,Tanah Sareal
R003582,CV Mitra Motor,JALAN PURNAMA NOMOR 206 RT 04 RW 06,Tanah Sareal
R009840,TOKO Nusantara Rasa 880,JALAN PUSPA NOMOR 199 RT 06 RW 08,Tanah Sareal
R000681,CV Anugerah Digital,JALAN DAHLIA NOMOR 59 RT 13 RW 10,Tanah Sareal
R013659,UD Gemilang Pangan 987,JALAN CENDANA NOMOR 241 RT 04 RW 01,Tanah Sareal
R009691,UD Lestari Abadi 776,JALAN PAJAJARAN NOMOR 118 RT 07 RW 09,Bogor Selatan
R010377,TOKO Berkah Motor 323,"Jalan Pajajaran Nomor 10, RT 12 RW 01",Bogor Utara
R011072,TOKO Harapan Mandiri 880,JALAN MAWAR NOMOR 75 RT 11 RW 06,Bogor Selatan
R005937,KEDAI Cahaya Sejahtera,JALAN TERATAI NOMOR 178 RT 10 RW 09,Bogor Barat
R011976,UD Sukses Jaya 623,JALAN PAJAJARAN NOMOR 250 RT 03 RW 07,Bogor Selatan
R011542,DEPOT Sentosa Bersama 272,JALAN DAHLIA NOMOR 41 RT 02 RW 09,Bogor Utara
R000008,KEDAI Nusantara Karya,JALAN KEBUN RAYA NOMOR 8 RT 05 RW 06,Bogor Timur
R007553,  KEDAI Mitra Digital 065 ,JALAN DAHLIA NOMOR 227 RT 15 RW 02,Bogor Barat
R002092,BENGKEL Cahaya Motor,JALAN FLAMBOYAN NOMOR 191 RT 03 RW 09,Bogor Timur
R014456,KEDAI Sentosa Utama 635,JALAN DURIAN NOMOR 158 RT 15 RW 11,Bogor Selatan
R006150,CV Sejahtera Bersama,JALAN DAHLIA NOMOR 189 RT 05 RW 07,Tanah Sareal
R014260,KEDAI Gemilang Rasa 477,JALAN NUSA INDAH NOMOR 242 RT 01 RW 03,Bogor Utara
R000254,BENGKEL Karya Utama,JALAN MAWAR NOMOR 53 RT 02 RW 10,Bogor Selatan
R008061,UD Abadi Niaga 464,JALAN HARAPAN NOMOR 14 RT 09 RW 03,Bogor Timur
R004971,TOKO Sentosa Pangan,JALAN MANGGA NOMOR 29 RT 13 RW 12,Bogor Tengah
R014730,KEDAI Sentosa Rasa 858,JALAN MANGGA NOMOR 221 RT 06 RW 02,Bogor Selatan
R007393,WARUNG Harapan Rasa,JALAN FLAMBOYAN NOMOR 183 RT 09 RW 05,Tanah Sareal
R011019,KEDAI Cahaya Sejahtera 843,JALAN RAMBUTAN NOMOR 166 RT 09 RW 05,Bogor Selatan
R008264,TOKO Sukses Jaya 629,JALAN MELATI NOMOR 188 RT 07 RW 11,Bogor Barat
R004582,WARUNG Lestari Mandiri,JALAN ANGGREK NOMOR 73 RT 10 RW 08,Bogor Utara
R003362,STUDIO Gemilang Motor,JALAN KENCANA NOMOR 191 RT 10 RW 09,Bogor Tengah
R004653,CV Gemilang Utama,JALAN KAMBOJA NOMOR 5 RT 01 RW 07,Tanah Sareal
R006657,BENGKEL Berkah Rasa,JALAN PURNAMA NOMOR 13 RT 08 RW 04,Tanah Sareal
R007430,DEPOT Utama Rasa,JALAN PURNAMA NOMOR 24 RT 07 RW 01,Tanah Sareal
R012481,CV Prima Busana 054,JALAN MELATI NOMOR 58 RT 06 RW 01,Bogor Utara
R007499,TOKO Berkah Niaga 031,JALAN RAMBUTAN NOMOR 118 RT 06 RW 07,Tanah Sareal
R013201,DEPOT Kencana Sejahtera 628,JALAN PUSPA NOMOR 233 RT 13 RW 12,Bogor Utara
R001350,UD Sejahtera Rasa,JALAN MANGGA NOMOR 8 RT 12 RW 12,Bogor Utara
R007755,WARUNG Utama Usaha 219,JALAN NUSA INDAH NOMOR 65 RT 08 RW 02,Bogor Barat
R003783,UD Berkah Kreatif,JALAN MAWAR NOMOR 121 RT 12 RW 04,Bogor Barat
R010497,  WARUNG Nusantara Persada 409 ,JALAN KAMBOJA NOMOR 175 RT 04 RW 02,Bogor Barat
R003108,UD Sentosa Sentosa,JALAN KENANGA NOMOR 240 RT 11 RW 03,Bogor Timur
R013577,PT Prima Teknik 918,JALAN MENTARI NOMOR 136 RT 07 RW 11,Bogor Utara
R011831,PT Harapan Makmur 505,JLN. Harapan No 237 RT.09/RW.04,Bogor Timur
R001199,TOKO Nusantara Elektronik,JALAN TERATAI NOMOR 14 RT 01 RW 05,Bogor Tengah
R014433,UD Jaya Utama 622,JALAN MANGGA NOMOR 85 RT 04 RW 09,Bogor Selatan
R000248,STUDIO Mandiri Elektronik,"Jalan Kemuning Nomor 232, RT 08 RW 08",Tanah Sareal
R006260,DEPOT Sukses Karya,JALAN FLAMBOYAN NOMOR 43 RT 15 RW 09,Bogor Barat
R008206,KEDAI Utama Makmur 580,JALAN FLAMBOYAN NOMOR 142 RT 12 RW 11,Bogor Tengah
R000801,UD Lestari Pangan,JALAN KEMUNING NOMOR 147 RT 05 RW 05,Bogor Barat
R010788,BENGKEL Sejahtera Usaha 655,JALAN DURIAN NOMOR 28 RT 09 RW 08,Bogor Barat
R013288,STUDIO Mitra Rasa 692,JALAN TERATAI NOMOR 248 RT 05 RW 07,Bogor Selatan
R011674,  UD Berkah Bersama 377 ,JALAN KENCANA NOMOR 249 RT 06 RW 11,Bogor Barat
R004013,TOKO Karya Motor,JALAN ANGGREK NOMOR 132 RT 15 RW 02,Bogor Tengah
R010691,PT Prima Jaya 579,JALAN KAMBOJA NOMOR 216 RT 09 RW 12,Bogor Tengah
R008830,UD Mitra Digital 099,JALAN CENDANA NOMOR 184 RT 12 RW 11,Bogor Utara
R010012,WARUNG Maju Usaha 015,JALAN PURNAMA NOMOR 45 RT 08 RW 09,Bogor Tengah
R006948,BENGKEL Makmur Motor,JALAN MENTARI NOMOR 106 RT 14 RW 05,Bogor Barat
R002540,BENGKEL Jaya Motor,JALAN CEMPAKA NOMOR 110 RT 01 RW 02,Bogor Barat
R010158,KEDAI Abadi Makmur 135,JALAN SILIWANGI NOMOR 175 RT 06 RW 07,Bogor Selatan
R002646,PT Lestari Persada,JALAN KAMBOJA NOMOR 195 RT 08 RW 04,Bogor Utara
R005095,DEPOT Mitra Motor,JALAN HARAPAN NOMOR 149 RT 10 RW 07,Bogor Selatan
R010734,TOKO Mandiri Rasa 613,JALAN CENDANA NOMOR 18 RT 07 RW 07,Tanah Sareal
R001240,STUDIO Sentosa Sentosa,JALAN FLAMBOYAN NOMOR 33 RT 13 RW 04,Bogor Selatan
R014183,TOKO Makmur Kreatif 411,JALAN FLAMBOYAN NOMOR 92 RT 15 RW 04,Tanah Sareal
R010292,PT Harapan Bersama 250,JALAN CEMPAKA NOMOR 135 RT 08 RW 01,Bogor Utara
R005749,TOKO Sentosa Rasa,JALAN SUKAMAJU NOMOR 54 RT 06 RW 12,Tanah Sareal
R007469,KEDAI Sejahtera Utama 011,JALAN SILIWANGI NOMOR 94 RT 05 RW 11,Bogor Barat
R011306,KEDAI Berkah Elektronik 078,JALAN DURIAN NOMOR 8 RT 09 RW 05,Bogor Timur
R004055,CV Jaya Niaga,JALAN ANGGREK 66 RT 15 RW 3,Bogor Barat
R012164,STUDIO Berkah Busana 781,JALAN HARAPAN NOMOR 52 RT 04 RW 04,Bogor Barat
R011078,CV Harapan Mandiri 885,JALAN WIJAYA NOMOR 238 RT 03 RW 01,Bogor Barat
R012271,UD Utama Karya 876,JALAN SEJAHTERA NOMOR 144 RT 01 RW 03,Bogor Utara
R002415,BENGKEL Anugerah Busana,JALAN KEBUN RAYA NOMOR 101 RT 13 RW 03,Bogor Selatan
R001592,KEDAI Sejahtera Utama,JALAN MENTARI NOMOR 74 RT 11 RW 11,Bogor Selatan
R012262,WARUNG Sentosa Rasa 868,JALAN ANGGREK NOMOR 109 RT 14 RW 07,Bogor Timur
R005634,WARUNG Karya Jaya,JALAN SUKAMAJU NOMOR 36 RT 13 RW 10,Bogor Selatan
R013326,KEDAI Gemilang Sejahtera 715,JALAN HARAPAN NOMOR 37 RT 04 RW 04,Bogor Tengah
R002272,STUDIO Mandiri Elektronik,JALAN ANGGREK NOMOR 5 RT 13 RW 11,Bogor Selatan
R005884,CV Abadi Sejahtera,JALAN MENTARI 111 RT 2 RW 12,Tanah Sareal
R001750,DEPOT Karya Makmur,JALAN RAMBUTAN NOMOR 204 RT 02 RW 11,Bogor Timur
R007505,toko berkah niaga 031,JALAN RAMBUTAN NOMOR 118 RT 06 RW 07,Tanah Sareal
R010773,DEPOT Sejahtera Abadi 643,JALAN SUKAMAJU NOMOR 197 RT 06 RW 01,Bogor Utara
R008880,BENGKEL Berkah Abadi 137,JALAN SEJAHTERA NOMOR 19 RT 02 RW 06,Bogor Tengah
R006574,PT Mandiri Pangan,JALAN MENTARI NOMOR 72 RT 12 RW 03,Tanah Sareal
R002973,CV Mandiri Abadi,JALAN KENANGA NOMOR 216 RT 15 RW 10,Bogor Tengah
R012423,KEDAI Kencana Pangan 004,JALAN HARAPAN NOMOR 196 RT 03 RW 06,Bogor Timur
R010566,DEPOT Utama Rasa 465,JALAN MELATI NOMOR 58 RT 06 RW 09,Tanah Sareal
R000714,  KEDAI Gemilang Karya ,JALAN PUSPA NOMOR 78 RT 13 RW 03,Bogor Utara
R014515,BENGKEL Kencana Usaha 681,JALAN KEMUNING NOMOR 215 RT 13 RW 04,Bogor Selatan
R011118,DEPOT Karya Elektronik 919,JALAN HARAPAN NOMOR 9 RT 06 RW 05,Bogor Barat
R005026,UD Prima Jaya,JALAN RAMBUTAN NOMOR 117 RT 11 RW 06,Bogor Tengah
R003480,BENGKEL Lestari Niaga,JALAN MELATI NOMOR 32 RT 12 RW 03,Bogor Utara
R004517,CV Harapan Digital,JALAN MENTARI NOMOR 14 RT 15 RW 10,Tanah Sareal
R003090,TOKO Gemilang Elektronik,JALAN TERATAI NOMOR 203 RT 13 RW 08,Bogor Barat
R012830,DEPOT Prima Digital 334,JALAN NUSA INDAH NOMOR 90 RT 15 RW 09,Bogor Utara
R005774,CV Anugerah Motor,JALAN MANGGA NOMOR 124 RT 15 RW 07,Tanah Sareal
R009323,DEPOT Makmur Jaya 493,JALAN RAMBUTAN NOMOR 82 RT 02 RW 08,Bogor Tengah
R000571,BENGKEL Cahaya Makmur,jl kenanga no 202 rt 15 rw 8,Bogor Utara
R011829,PT Harapan Makmur 505,"Jalan Harapan Nomor 237, RT 09 RW 04",Bogor Timur
R003451,TOKO Lestari Usaha,JALAN SEJAHTERA NOMOR 199 RT 08 RW 01,Tanah Sareal
R001752,UD Lestari Niaga,JALAN MANGGA NOMOR 144 RT 13 RW 10,Bogor Utara
R003142,KEDAI Jaya Pangan,JALAN ANGGREK NOMOR 154 RT 15 RW 09,Bogor Selatan
R010504,depot cahaya digital 412,JALAN SUKAMAJU NOMOR 38 RT 01 RW 04,Tanah Sareal
R009904,TOKO Karya Busana 926,JALAN DAHLIA NOMOR 64 RT 07 RW 04,Bogor Timur
R011940,BENGKEL Gemilang Pangan 597,JALAN KEBUN RAYA NOMOR 12 RT 04 RW 06,Bogor Timur
R011800,CV Sukses Motor 480,JALAN MERDEKA NOMOR 45 RT 07 RW 05,Bogor Utara
R000166,BENGKEL Maju Niaga,JALAN MERDEKA NOMOR 75 RT 01 RW 03,Tanah Sareal
R014839,PT Sejahtera Usaha 946,JALAN MAWAR NOMOR 109 RT 02 RW 07,Bogor Utara
R005970,CV. Makmur Motor,JL MERDEKA NO 78 RT04 RW02,Bogor Barat
R003400,STUDIO Utama Jaya,JALAN FLAMBOYAN NOMOR 204 RT 15 RW 10,Tanah Sareal
R010128,WARUNG Cahaya Rasa 111,jl pajajaran no 41 rt 10 rw 2,Tanah Sareal
R007919,BENGKEL Cahaya Teknik 346,JALAN PINUS NOMOR 81 RT 11 RW 01,Bogor Timur
R008599,PT Abadi Utama 909,JALAN KENCANA NOMOR 240 RT 06 RW 11,Bogor Utara
R003806,KEDAI Sentosa Sentosa,JALAN PAJAJARAN NOMOR 125 RT 13 RW 08,Bogor Utara
R012070,PT Makmur Sejahtera 703,JALAN PURNAMA NOMOR 119 RT 08 RW 05,Bogor Barat
R002247,CV Anugerah Jaya,JALAN KEBUN RAYA NOMOR 90 RT 04 RW 12,Bogor Utara
R005681,TOKO Berkah Digital,JALAN ANGGREK NOMOR 145 RT 11 RW 07,Bogor Selatan
R001424,CV Abadi Utama,JALAN MANGGA NOMOR 224 RT 05 RW 07,Bogor Barat
R005755,KEDAI Sentosa Mandiri,JALAN DAHLIA NOMOR 208 RT 10 RW 07,Tanah Sareal
R011884,  BENGKEL Berkah Abadi 548 ,JALAN SENTOSA NOMOR 118 RT 05 RW 08,Bogor Barat
R000214,CV Lestari Digital,JALAN KEBUN RAYA NOMOR 63 RT 14 RW 01,Bogor Timur
R003104,STUDIO Maju Pangan,JALAN DAHLIA NOMOR 31 RT 09 RW 09,Tanah Sareal
R008368,CV Makmur Digital 715,JALAN MELATI NOMOR 70 RT 10 RW 01,Bogor Utara
R009767,DEPOT Mitra Usaha 828,JALAN MENTARI NOMOR 35 RT 12 RW 11,Tanah Sareal
R007530,KEDAI Nusantara Makmur 050,JALAN SUKAMAJU NOMOR 216 RT 03 RW 11,Bogor Tengah
R011952,PT Mitra Bersama 609,JALAN MANGGA NOMOR 205 RT 07 RW 01,Bogor Selatan
R005392,DEPOT Cahaya Mandiri,JALAN KENCANA NOMOR 130 RT 14 RW 10,Bogor Selatan
R011228,Depot Sukses Persada 008,JALAN KENANGA 24 RT 15 RW 7,Bogor Barat
R005467,BENGKEL Gemilang Abadi,JALAN MAWAR NOMOR 199 RT 09 RW 08,Bogor Timur
R003969,DEPOT Jaya Elektronik,Jl. Pajajaran No. 89 RT 10/RW 10,Bogor Tengah
R006646,BENGKEL Utama Niaga,JALAN MELATI NOMOR 39 RT 09 RW 07,Bogor Utara
R013586,CV Makmur Niaga 922,JLN. Siliwangi No 53 RT.08/RW.07,Bogor Utara
R012211,TOKO Jaya Sentosa 827,JALAN ANGGREK NOMOR 68 RT 05 RW 02,Bogor Tengah
R013669,CV Gemilang Usaha 996,JALAN PINUS NOMOR 169 RT 05 RW 02,Bogor Timur
R004674,KEDAI Jaya Rasa,JALAN KEMUNING NOMOR 197 RT 09 RW 08,Tanah Sareal
R009584,WARUNG Kencana Mandiri 697,JALAN NUSA INDAH NOMOR 157 RT 09 RW 05,Bogor Selatan
R010060,STUDIO Karya Motor 058,JALAN DURIAN NOMOR 49 RT 08 RW 10,Bogor Timur
R012149,BENGKEL Mitra Karya 767,JALAN NUSA INDAH NOMOR 216 RT 09 RW 10,Bogor Barat
R011866,BENGKEL Mandiri Teknik 534,JALAN KENANGA NOMOR 219 RT 15 RW 11,Bogor Selatan
R014829,BENGKEL Anugerah Jaya 939,JALAN KAMBOJA NOMOR 32 RT 11 RW 08,Bogor Barat
R004589,TOKO Kencana Kreatif,JALAN ANGGREK NOMOR 156 RT 07 RW 08,Bogor Utara
R009750,KEDAI Sukses Rasa 825,JALAN MENTARI NOMOR 100 RT 06 RW 02,Bogor Utara
R005662,bengkel berkah jaya,"Jalan Sejahtera Nomor 81, RT 08 RW 03",Bogor Barat
R011505,KEDAI Gemilang Mandiri 243,JALAN DAHLIA NOMOR 199 RT 03 RW 05,Tanah Sareal
R003504,UD Karya Persada,JALAN RAMBUTAN NOMOR 34 RT 11 RW 03,Tanah Sareal
R009530,CV Kencana Makmur 654,JALAN DURIAN NOMOR 206 RT 10 RW 08,Tanah Sareal
R011741,TOKO Sejahtera Abadi 431,jl sukamaju no 170 rt 9 rw 5,Bogor Selatan
R004710,WARUNG  Kencana Busana,JALAN MAWAR NOMOR 96 RT 04 RW 08,Bogor Tengah
R011463,DEPOT Kencana Usaha 207,JALAN KENANGA NOMOR 232 RT 08 RW 11,Bogor Timur
R008783,Cv Mandiri Karya 058,JALAN ANGGREK NOMOR 140 RT 06 RW 12,Bogor Timur
R001511,STUDIO Mandiri Utama,JALAN MENTARI NOMOR 102 RT 01 RW 06,Bogor Selatan
R014728,TOKO Makmur Mandiri 856,JALAN KAMBOJA NOMOR 62 RT 08 RW 05,Bogor Timur
R012298,DEPOT Anugerah Jaya 900,JALAN CEMPAKA NOMOR 209 RT 08 RW 01,Bogor Utara
R013535,PT Utama Digital 883,JALAN KENCANA NOMOR 219 RT 09 RW 02,Bogor Tengah
R001174,DEPOT Lestari Pangan,JALAN TERATAI NOMOR 202 RT 08 RW 06,Bogor Timur
R008574,TOKO Gemilang Rasa 886,JALAN SUKAMAJU NOMOR 199 RT 09 RW 10,Bogor Selatan
R007318,CV Utama Utama,JALAN MELATI NOMOR 164 RT 07 RW 06,Bogor Timur
R014754,PT Makmur Usaha 878,JALAN PAJAJARAN NOMOR 205 RT 10 RW 08,Tanah Sareal
R014477,KEDAI Berkah Abadi 649,JALAN MERDEKA NOMOR 92 RT 11 RW 07,Bogor Utara
R013165,UD Makmur Rasa 605,JALAN FLAMBOYAN NOMOR 249 RT 04 RW 12,Bogor Timur
R010154,CV Sukses Bersama 131,JALAN MELATI NOMOR 192 RT 14 RW 01,Bogor Barat
R005990,TOKO Sukses Sentosa,JALAN TERATAI NOMOR 44 RT 10 RW 11,Bogor Barat
R003769,STUDIO Lestari Teknik,JALAN RAMBUTAN NOMOR 147 RT 07 RW 12,Bogor Utara
R011627,CV Mitra Motor 344,JALAN DAHLIA NOMOR 125 RT 09 RW 07,Tanah Sareal
R003768,WARUNG Jaya Teknik,JALAN ANGGREK NOMOR 90 RT 03 RW 08,Bogor Barat
R008514,DEPOT Makmur Persada 832,JALAN PINUS NOMOR 24 RT 15 RW 05,Tanah Sareal
R006268,CV Utama Jaya,JALAN KAMBOJA NOMOR 142 RT 13 RW 05,Bogor Selatan
R014022,CV Cahaya Sentosa 282,JALAN KEMUNING NOMOR 243 RT 08 RW 06,Bogor Tengah
R001232,UD Kencana Sentosa,JALAN SUKAMAJU NOMOR 160 RT 12 RW 08,Bogor Selatan
R003793,PT Sejahtera Bersama,JALAN KAMBOJA NOMOR 190 RT 14 RW 05,Tanah Sareal
R007164,KEDAI Berkah Elektronik,JALAN KAMBOJA NOMOR 1 RT 10 RW 09,Bogor Utara
R004803,CV Sentosa Sejahtera,JALAN DURIAN NOMOR 162 RT 09 RW 12,Tanah Sareal
R007329,TOKO Anugerah Usaha,JALAN KEBUN RAYA NOMOR 152 RT 15 RW 02,Tanah Sareal
R011742,WARUNG Sentosa Jaya 432,JALAN KEBUN RAYA NOMOR 46 RT 15 RW 04,Bogor Barat
R004553,UD  Karya Abadi,JALAN CENDANA NOMOR 106 RT 06 RW 07,Bogor Timur
R003247,BENGKEL Berkah Kreatif,JALAN NUSA INDAH NOMOR 37 RT 14 RW 07,Bogor Barat
R000563,TOKO Harapan Kreatif,JALAN SILIWANGI NOMOR 198 RT 12 RW 04,Bogor Utara
R000051,BENGKEL Kencana Pangan,JALAN ANGGREK NOMOR 22 RT 14 RW 10,Bogor Selatan
R008832,BENGKEL Utama Abadi 100,JALAN CENDANA NOMOR 17 RT 14 RW 03,Bogor Utara
R006432,WARUNG Prima Kreatif,JALAN MELATI NOMOR 200 RT 09 RW 07,Tanah Sareal
R009426,KEDAI Kencana Digital 574,JALAN FLAMBOYAN NOMOR 173 RT 07 RW 08,Bogor Utara
